date_日期,price_价格
2024-05-20,79.0
2024-05-21,79.0
2024-05-22,77.0
2024-05-28,79.0
2024-05-29,79.0
2024-05-31,76.0
2024-06-01,76.0
2024-06-03,74.99
2024-06-04,76.0
2024-06-11,79.0
2024-06-12,79.0
2024-06-17,76.0
2024-06-18,76.0
2024-06-19,76.0
2024-06-28,75.0
2024-06-29,75.0
2024-06-30,75.0
2024-07-25,85.0
2024-08-06,85.9
2024-08-18,84.0
2024-08-19,85.0
2024-08-20,85.0
2024-08-21,85.0
2024-08-22,85.0
2024-08-23,85.0
2024-08-24,85.0
2024-08-25,85.0
2024-08-26,84.0
2024-08-27,84.0
2024-08-28,84.0
2024-08-29,84.0
2024-08-30,84.0
2024-09-04,86.0
2024-09-05,86.0
2024-09-06,86.0
2024-09-26,83.0
2024-10-01,86.0
2024-10-02,86.0
2024-10-03,86.0
2024-10-04,86.0
2024-10-05,86.0
2024-10-06,86.0
2024-10-07,86.0
2024-10-08,83.0
2024-10-09,86.0
2024-10-10,86.0
2024-10-11,86.0
2024-10-12,86.0
2024-10-13,86.0
2024-10-14,72.0
2024-10-15,72.0
2024-10-16,86.0
2024-10-17,86.0
2024-10-18,86.0
2024-10-19,86.0
2024-10-20,86.0
2024-10-21,72.0
2024-10-22,72.0
2024-10-23,86.0
2024-10-24,86.0
2024-10-25,86.0
2024-10-26,86.0
2024-10-27,86.0
2024-10-28,86.0
2024-10-29,86.0
2024-10-30,86.0
2024-10-31,72.0
2024-11-01,72.0
2024-11-02,86.0
2024-11-03,86.0
2024-11-04,72.0
2024-11-05,72.0
2024-11-06,72.0
2024-11-07,86.0
2024-11-08,86.0
2024-11-09,69.9
2024-11-10,69.9
2024-11-11,69.9
2024-11-12,69.9
2024-11-13,86.0
2024-11-14,86.0
2024-11-15,86.0
2024-11-16,86.0
2024-11-17,86.0
2024-11-18,86.0
2024-11-19,86.0
2024-11-20,86.0
2024-11-21,86.0
2024-11-22,86.0
2024-11-23,86.0
2024-11-24,86.0
2024-11-25,86.0
2024-11-26,86.0
2024-11-27,86.0
2024-11-28,86.0
2024-11-29,86.0
2024-11-30,86.0
2024-12-01,86.0
2024-12-02,79.0
2024-12-03,79.0
2024-12-04,86.0
2024-12-05,86.0
2024-12-06,86.0
2024-12-07,86.0
2024-12-08,86.0
2024-12-09,79.1
2024-12-10,79.1
2024-12-11,79.0
2024-12-12,79.0
2024-12-13,86.0
2024-12-14,86.0
2024-12-15,86.0
2024-12-16,83.9
2024-12-17,83.9
2024-12-18,83.9
2024-12-19,83.9
2024-12-20,83.9
2024-12-21,83.9
2024-12-22,83.9
2024-12-23,81.9
2024-12-24,83.9
2024-12-25,83.9
2024-12-26,83.9
2024-12-27,83.9
2024-12-28,86.0
2024-12-29,86.0
2024-12-30,82.9
2024-12-31,86.0
2025-01-13,85.0
2025-01-20,82.9
2025-01-27,82.9
2025-02-05,83.9
2025-02-10,79.9
2025-02-12,79.8
2025-02-19,82.9
2025-02-24,82.9
2025-02-25,82.9
2025-03-03,82.9
2025-03-04,83.9
2025-03-11,82.9
2025-03-12,82.9
2025-03-18,82.9
2025-03-19,82.9
2025-03-26,82.9
2025-04-02,85.0
2025-04-09,85.0
2025-04-10,85.0
2025-04-15,86.0
2025-04-21,85.0
2025-04-27,85.0
