date_日期,price_价格
2024-05-20,85.0
2024-05-21,85.0
2024-05-22,87.0
2024-05-23,87.0
2024-05-24,87.0
2024-05-25,87.0
2024-05-26,87.0
2024-05-27,87.0
2024-05-28,87.0
2024-05-29,87.0
2024-05-30,87.0
2024-05-31,84.9
2024-06-01,84.9
2024-06-04,81.0
2024-06-05,81.0
2024-06-06,81.0
2024-06-07,81.0
2024-06-08,81.0
2024-06-09,81.0
2024-06-10,81.0
2024-06-11,81.0
2024-06-12,81.0
2024-06-13,85.0
2024-06-14,85.0
2024-06-15,85.0
2024-06-16,85.0
2024-06-17,81.0
2024-06-18,81.0
2024-06-19,83.0
2024-07-17,88.0
2024-08-27,85.0
2024-09-09,84.0
2024-09-26,84.0
2024-10-08,84.0
2024-11-10,84.0
2024-11-12,84.0
2024-11-19,83.0
2024-11-20,85.0
2024-11-21,85.0
2024-11-22,85.0
2024-11-23,85.0
2024-11-24,85.0
2024-11-25,85.0
2024-11-26,85.0
2024-11-27,85.0
2024-11-28,85.0
2024-11-29,85.0
2024-11-30,85.0
2024-12-01,85.0
2024-12-02,80.9
2024-12-03,80.9
2024-12-04,85.0
2024-12-05,85.0
2024-12-06,85.0
2024-12-07,85.0
2024-12-08,85.0
2024-12-09,85.0
2024-12-10,85.0
2024-12-11,85.0
2024-12-12,85.0
2024-12-13,87.0
2024-12-14,87.0
2024-12-15,87.0
2025-02-18,85.8
2025-02-24,85.8
2025-03-03,88.0
2025-03-24,86.0
2025-03-25,86.0
2025-03-26,86.0
2025-03-27,86.0
2025-03-28,86.0
2025-03-31,86.0
2025-04-01,86.0
2025-04-02,86.0
2025-04-03,86.0
2025-04-04,86.0
2025-04-05,86.0
2025-04-06,86.0
2025-04-07,86.0
2025-04-08,86.0
2025-04-09,86.0
2025-04-10,86.0
2025-04-11,86.0
2025-04-12,86.0
2025-04-13,86.0
2025-04-14,86.0
2025-04-15,86.0
2025-04-16,85.9
2025-04-17,86.0
2025-04-18,86.0
2025-04-19,86.0
2025-04-20,86.0
2025-04-21,86.0
2025-04-22,85.5
2025-04-23,85.5
2025-04-24,82.3
2025-04-25,82.3
2025-04-26,82.3
2025-04-27,82.3
2025-04-28,81.8
2025-04-29,81.8
2025-04-30,82.3
