date_日期,price_价格
2024-05-20,79.0
2024-05-21,79.0
2024-05-22,87.0
2024-05-23,87.0
2024-05-24,87.0
2024-05-27,79.0
2024-05-28,85.0
2024-05-29,87.0
2024-05-30,87.0
2024-05-31,77.0
2024-06-01,77.0
2024-06-02,87.0
2024-06-03,77.0
2024-06-04,77.0
2024-06-05,87.0
2024-06-06,87.0
2024-06-07,87.0
2024-06-11,77.0
2024-06-12,77.0
2024-06-13,87.0
2024-06-14,87.0
2024-06-15,87.0
2024-06-16,87.0
2024-06-17,87.0
2024-06-18,77.0
2024-06-19,77.0
2024-06-20,77.0
2024-09-02,85.0
2024-09-03,85.0
2024-09-09,85.0
2024-09-10,85.0
2024-09-16,86.0
2024-09-17,86.0
2024-09-18,86.0
2024-09-19,86.0
2024-09-20,86.0
2024-09-23,86.0
2024-09-24,86.0
2024-09-25,86.0
2024-09-26,86.0
2024-09-27,86.0
2024-09-29,82.0
2024-09-30,82.0
2024-10-01,86.0
2024-10-08,82.0
2024-10-09,82.0
2024-10-10,86.0
2024-10-11,82.0
2024-10-12,82.0
2024-10-13,82.0
2024-10-14,82.0
2024-10-15,71.0
2024-10-16,71.0
2024-10-17,82.0
2024-10-18,82.0
2024-10-19,82.0
2024-10-20,82.0
2024-10-21,82.0
2024-10-22,71.0
2024-10-23,71.0
2024-10-24,82.0
2024-10-25,82.0
2024-10-28,82.0
2024-10-29,82.0
2024-10-30,75.0
2024-10-31,70.99
2024-11-01,71.0
2024-11-02,71.0
2024-11-04,71.0
2024-11-05,70.99
2024-11-06,70.99
2024-11-07,82.0
2024-11-08,82.0
2024-11-09,82.0
2024-11-10,82.0
2024-11-11,71.0
2024-11-12,71.0
2024-11-13,82.0
2024-11-14,82.0
2024-11-15,82.0
2024-11-18,82.0
2024-11-19,82.0
2024-11-20,82.0
2024-11-21,82.0
2024-11-22,82.0
2024-11-29,82.0
2024-12-01,75.0
2024-12-02,75.0
2024-12-03,75.0
2024-12-04,82.0
2024-12-05,82.0
2024-12-06,82.0
2024-12-08,75.0
2024-12-09,75.0
2024-12-10,75.0
2024-12-11,75.0
2024-12-12,75.0
2024-12-13,82.0
2024-12-16,82.0
2024-12-17,82.0
2024-12-18,82.0
2024-12-19,82.0
2024-12-20,82.0
2024-12-23,82.0
2024-12-24,82.0
2024-12-25,82.0
2024-12-26,82.0
2024-12-27,82.0
2024-12-30,82.0
2024-12-31,82.0
2025-01-01,82.0
2025-01-02,82.0
2025-01-03,82.0
2025-01-06,82.0
2025-01-07,82.0
2025-01-08,82.0
2025-01-09,82.0
2025-01-10,82.0
2025-01-13,82.0
2025-01-14,82.0
2025-01-15,82.0
2025-01-16,82.0
2025-01-17,82.0
2025-02-09,78.9
2025-02-10,78.9
2025-02-11,82.0
2025-02-12,82.0
